book_id,cover_image_url,book_title,book_details,publication_info,authorlink,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution
86767939,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674743453i/86767939.jpg,Terms and Conditions,"DeclanIm destined to become the next CEO of my familys media empire. The only problem? My grandfathers inheritance clause. Fulfilling his dying wish of getting married and having an heir seemed impossible until my assistant volunteers for the job. Our marriage was supposed to be the perfect solution to my biggest problem. But the more we act in love for the public, the more unsure I feel about our contract. Caring about Iris was never part of the deal. Especially not when breaking her heart is inevitable. IrisMy plan to marry Declan was simple in theory. Move in together. Throw a wedding. Have a baby. We set rules to prevent any kind of issues. Ones that were never meant to be broken, no matter how much Declan tempts me. But what happens when our fake relationship bleeds into our real one? Falling in love was never an option. At least not for me.","[""First published February 24, 2022""]",https://www.goodreads.com/author/show/19561164.Lauren_Asher,Lauren Asher,494,"[""Romance"", ""Contemporary"", ""Contemporary Romance"", ""Fiction"", ""Adult"", ""New Adult"", ""Audiobook""]",341457,32373,4.13,"{""5"": ""133,019"", ""4"": ""137,401"", ""3"": ""56,977"", ""2"": ""11,393"", ""1"": ""2,667""}"
89073278,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674923770i/89073278.jpg,Black Fire,"Major Tommy Black is at the crossroads of a brilliant, clandestine career. Lost... without purpose or mission. His life in sealed records and whispered stories of his violent exploits. Devastated and blaming himself when a member of his covert task force commits suicide, but when the mans daughter is kidnapped, Black, the man with a talent for violence, sacrifices all for the nearly impossible chance to save the girl... and maybe his soul.For fans of Robert Ludlum and Lee Child, BLACK FIRE is a tour de force of explosive action that takes the reader on an epic, breathtaking adventure from the exotic Indian Ocean island of Mauritius to the remote interior of South Africa and across Europe into the towering mountains of Central Asia, and introduces a riveting new hero to cheer along with Reacher and Bourne  Tommy Black.","[""First published February 25, 2023""]",https://www.goodreads.com/author/show/22284677.William_Kely_McClung,William Kely McClung,517,"[""Thriller"", ""Fiction""]",5497,40,4.3,"{""5"": ""2,570"", ""4"": ""2,356"", ""3"": ""280"", ""2"": ""211"", ""1"": ""80""}"
89147256,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1678401187i/89147256.jpg,Marry Christmas,"Growing up with an undiagnosed learning disability and a name that screams intelligence, Britanica Jaymes suffers ridicule as a child. Pudgy, frazzled hair and a face plastered with freckles added to the ridicule. The support of family, friends and God provided all the love she needed. But there was one serious candy canes are her form of kryptonite. Desperate, she made a secret Christmas wish. Most everything is coming true, except for true love.Signs of reverting back to the learning disability and still seeking true love, the magic of Christmas lingers in the air, and a dose of Shakespeare, Rambo and snowflakes help to create a perfect Christmas recipe of hope.Skip the final peppermint At least for now, until the cure is found.","[""Published November 16, 2021""]",https://www.goodreads.com/author/show/1152050.Linda_Phillips,Linda Phillips,263,None,1085,9,4.35,"{""5"": ""513"", ""4"": ""490"", ""3"": ""43"", ""2"": ""30"", ""1"": ""9""}"
90202302,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1706724269i/90202302.jpg,Iron Flame,"The first year is when some of us lose our lives. The second year is when the rest of us lose our humanity. Xaden RiorsonEveryone expected Violet Sorrengail to die during her first year at Basgiath War CollegeViolet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky.Now the real training begins, and Violets already wondering how shell get through. Its not just that its grueling and maliciously brutal, or even that its designed to stretch the riders capacity for pain beyond endurance. Its the new vice commandant, whos made it his personal mission to teach Violet exactly how powerless she isunless she betrays the man she loves.Although Violets body might be weaker and frailer than everyone elses, she still has her witsand a will of iron. And leadership is forgetting the most important lesson Basgiath has taught her: Dragon riders make their own rules.But a determination to survive wont be enough this year.Because Violet knows the real secret hidden for centuries at Basgiath War Collegeand nothing, not even dragon fire, may be enough to save them in the end.","[""First published November 7, 2023""]",https://www.goodreads.com/author/show/7539785.Rebecca_Yarros,Rebecca Yarros,640,"[""Romance"", ""Dragons"", ""Fiction"", ""Fantasy Romance"", ""Magic"", ""New Adult"", ""Adult""]",1009214,117491,4.35,"{""5"": ""532,791"", ""4"": ""332,970"", ""3"": ""113,625"", ""2"": ""22,939"", ""1"": ""6,889""}"
90765751,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1692804382i/90765751.jpg,Life for Life,"What would YOU do if someone threatened your family?Roy Cruise and his pregnant wife Susie barely survived an assassination attempt in their own home. The police now have them under surveillance. Meanwhile, Kristy Wise is a loose cannonshe knows too much and is trying to set things right.What goes around comes around. And in this case, Roy and Susie may have pushed things too far. There are too many dead bodies. Too many foes plotting against them.Roy and Susie must outwit the police and neutralize their enemies once and for all. If not, their days of retribution may end behind bars... or six feet under.Life for Life is Book Three of the Talion crime thriller series which begins with the Eye for Eye Trilogy.Eye for EyeTooth for ToothLife for LifeIf you like smart, fast-paced thrillers with unexpected twists, then youll love J.K. Franko.","[""Published July 21, 2020""]",https://www.goodreads.com/author/show/18789144.J_K_Franko,J.K. Franko,396,"[""Thriller"", ""Fiction"", ""Contemporary"", ""Suspense"", ""Mystery""]",1324,90,4.38,"{""5"": ""654"", ""4"": ""565"", ""3"": ""62"", ""2"": ""35"", ""1"": ""8""}"
90779476,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675085757i/90779476.jpg,The Trial of Joe Harlan Junior,"What would you do if the law failed you? The college Halloween party was supposed to be a night of fun, dress up and laughter, but for Kristy Wise, it quickly became a night of horror.Read the story. Witness the testimony. Is everything that comes after justified?YOU decide.THE TRIAL OF JOE HARLAN JUNIOR IS THE PREQUEL NOVELLA TO J.K. FRANKO'S SHOCKING THRILLER, EYE FOR EYE","[""Published January 1, 2023""]",https://www.goodreads.com/author/show/18789144.J_K_Franko,J.K. Franko,101,"[""Fiction"", ""Thriller""]",902,25,4.33,"{""5"": ""430"", ""4"": ""386"", ""3"": ""49"", ""2"": ""25"", ""1"": ""12""}"
91246894,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1696034377i/91246894.jpg,Judgment Prey,"Lucas Davenport and Virgil Flowers team up to crack an unsolvable case in this thrilling new novel by John Sandford.Alex Sand was spending the evening at home playing basketball with his two young sons when all three were shot in cold blood. A wealthy federal judge, theres no short list of people who could have a vendetta against Sands, but the gruesome murders, especially that of his children, turn their St. Paul community on its head. Sand was on the verge of a major donation to a local housing charity, Heart/Twin Cities, and with the money in limbo, eyes suddenly turn to his grieving widow, Margaret Cooper, to see what she might do with the money. Margaret, distraught over the death of her family, struggles to move forward, and cant imagine how or why anyone would target her husband.With public pressure mounting and both the local police force and FBI hitting dead end after dead end, Lucas Davenport and Virgil Flowers are called in to do what others could not: find answers. With each potential lead flawed, Davenport and Flowers are determined to chase every theory until they figure out who killed the Sands. But when they find themselves being stonewalled by the most unlikely of forces, the two wonder if perhaps each misdirection could lead them closer to the truth.","[""First published October 3, 2023""]",https://www.goodreads.com/author/show/4610.John_Sandford,John Sandford,352,"[""Mystery"", ""Thriller"", ""Fiction"", ""Mystery Thriller"", ""Crime"", ""Suspense"", ""Police""]",20948,1092,4.38,"{""5"": ""11,005"", ""4"": ""7,355"", ""3"": ""2,186"", ""2"": ""298"", ""1"": ""104""}"
92074165,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675159885i/92074165.jpg,One Moment in Time,"Sometimes the best surprises reveal the most shocking secrets.After three decades of marriage, Brenda Jones has decided to leave her husband, just as soon as they both return from a mystery trip with their daughter Zara. But she has no idea that Zara is flying them to Las Vegas to renew their vows.Zara Jones has recreated almost every detail of her parents original wedding - now her only challenge is tracking down the two friends who were pictured with her mum and dad back in 1993.Aiden Gregg is dealing with his own relationship woes when he receives an unexpected message from a complete stranger. With the help of Facebook, Zara has tracked him down and is asking if his parents are the other couple in the old photo? And if so, could he bring them to Vegas for a surprise reunion?What Zara and Aiden dont know is that thirty years ago, One Moment In Time changed everything.Will rewinding the clock right the wrongs of the past?Or are they all counting down to a rendezvous with disaster?","[""First published May 2, 2023""]",https://www.goodreads.com/author/show/687740.Shari_Low,Shari Low,300,"[""Fiction"", ""Action"", ""Young Adult"", ""Teen"", ""Adventure"", ""Novels"", ""Romance""]",28160,778,4.18,"{""5"": ""12,386"", ""4"": ""10,016"", ""3"": ""4,568"", ""2"": ""890"", ""1"": ""300""}"
94399604,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675648462i/94399604.jpg,The Alchemy Fire Murder: a Mary Wandwalker Mystery,"Former Archivist Mary Wandwalker hates bringing bad news. Nevertheless, she confirms to her alma mater that their prized medieval alchemy scroll, is, in fact, a seventeenth century copy. She learns that the original vanished to colonial Connecticut with alchemist, Robert Le More. Later the genuine scroll surfaces in Los Angeles. Given that the authentic artifact is needed for her Oxford college to survive, retrieving it is essential.Mary agrees to get the real scroll back as part of a commission for her three-person Enquiry Agency. However, tragedy strikes in Los Angeles. Before Mary can legally obtain the scroll, a young man is murdered, and the treasure stolen.Murder and theft are complicated by the disappearance in the UK of a witch mysteriously connected to the scroll. While Mary's colleague, Caroline, risks her sanity to go undercover in a dodgy mental hospital, her lover, Anna resorts to desperate measures. These, and Anna's silence over blackmail, threaten the survival of the Agency. Mary teams up with the victim's brother to track the killer, and the real alchemy scroll. Solving crimes on two continents will involve a rogue pharmaceutical corporation, Janet the witch, the Holywell Retreat Center near Oxford, plus the trafficked women they support, a graduate school in California, and a life-threatening mountain-consuming wildfire. Can these inexperienced detectives triumph over corrupt professors and racist attempts to rewrite history? Can they remake their fragile family? Will the extraordinary story of Robert Le More prove a source of hope for today?","[""Published February 15, 2023""]",https://www.goodreads.com/author/show/22156343.Susan_Rowland,Susan  Rowland,352,"[""Novels"", ""Mystery"", ""Drama"", ""Fiction"", ""Crime"", ""Mystery Thriller"", ""Detective""]",8383,21,4.3,"{""5"": ""3,851"", ""4"": ""3,721"", ""3"": ""422"", ""2"": ""252"", ""1"": ""137""}"
100022768,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675614710i/100022768.jpg,Magical Elements of the Periodic Table Presented Alphabetically by the Metal Horn Unicorns,"In this unique alphabet book, members of the Metal Horn Unicorn Tribe present 26 Magical Elements of the Periodic Table in alphabetical order. Each member of the tribe has a metal horn and hooves. They also have magical powers based on the properties of their metals.Alumna starts out the book by introducing the very necessary metal, aluminum, on her element page. Dr. Zinko rounds out the alphabet by presenting facts and other fun information about the metal, zinc, on his element page. Other members of the Metal Horn Tribe from Unimaise, plus some of their magical elemental friends, will give some great insight into the properties of 23 additional pure metals from the periodic table. There is one special unicorn in the book whose horn and hooves are an alloy created by combining copper and zinc. Cornum, the Brass Horned unicorn will reveal some interesting things about that metal.While not all elements in the Periodic Table are represented by letters of the alphabet, some in this book, are introduced by alternate designations. For instance, Tungsten is also known as Wolfram so W is used as the entry for that alphabetical letter in this book. The letter W is also used as the atomic symbol for tungsten in all periodic tables.Each element page in this book contains terms that might not be completely familiar. Refer to the definitions in the back of the book to get a clear understanding of each meaning. There is also a fun unicorn themed Periodic Table at the back of the book.The Metal Horn unicorns from Unimaise and their other techno-magical unicorn friends are the perfect group to introduce you to metals and other elements in the Periodic Table. Hopefully the Magical Elements of this periodic table book will spark an interest in the magical and real world properties of all the metals and other elements known today. You may be surprised at how prominently they feature in our every day lives.","[""Published February 4, 2023""]",https://www.goodreads.com/author/show/6455676.Sybrina_Durant,Sybrina Durant,45,"[""Science"", ""Childrens""]",313,60,4.46,"{""5"": ""186"", ""4"": ""103"", ""3"": ""11"", ""2"": ""9"", ""1"": ""4""}"
